,DATE,PRISOMRÅDE,FORBRUK_KWH,ANTALL_MÅLEPUNKT,PRODUKSJON_KWH,NETTO_PRODUKSJON_KWH
0,2020-12-31,NO1,4431073.516000001,1280088.0,65903067.288,61471993.772
1,2020-12-31,NO2,4364138.152,792478.0,184310327.965,179946189.813
2,2020-12-31,NO3,3112774.139,518723.0,76631968.108,73519193.969
3,2020-12-31,NO4,1997586.226,330240.0,99877180.986,97879594.76
4,2020-12-31,NO5,2040973.624,320541.0,112053576.106,110012602.48200001
5,2021-01-01,NO1,115296560.993,30722112.0,65811990.743,-49484570.25
6,2021-01-01,NO2,111020293.386,19019472.0,188421959.404,77401666.018
7,2021-01-01,NO3,79142416.689,12449350.0,79208416.66,65999.97100000083
8,2021-01-01,NO4,51025375.465,7925760.0,99064664.365,48039288.89999999
9,2021-01-01,NO5,51735153.732,7692983.0,120275657.288,68540503.556
10,2021-01-02,NO1,115625068.435,30722113.0,67429376.045,-48195692.39
11,2021-01-02,NO2,112538589.849,19019466.0,194858409.334,82319819.48499998
12,2021-01-02,NO3,82101061.495,12449304.0,80732690.139,-1368371.3560000062
13,2021-01-02,NO4,51860877.643,7925760.0,98969219.496,47108341.85300001
14,2021-01-02,NO5,51895618.774,7692960.0,125318369.361,73422750.58700001
15,2021-01-03,NO1,122458089.962,30722203.0,66812240.244,-55645849.717999995
16,2021-01-03,NO2,113723927.838,19019361.0,184405135.301,70681207.463
17,2021-01-03,NO3,85907539.846,12449310.0,69336280.619,-16571259.226999998
18,2021-01-03,NO4,50870393.671,7925764.0,97889777.711,47019384.04
19,2021-01-03,NO5,53179634.688,7692981.0,113854974.902,60675340.213999994
20,2021-01-04,NO1,143754782.758,30723818.0,66818577.212,-76936205.54599999
21,2021-01-04,NO2,125259614.088,19020137.0,204794304.442,79534690.354
22,2021-01-04,NO3,92160805.814,12449456.0,74044807.317,-18115998.496999994
23,2021-01-04,NO4,52080869.155,7925873.0,102232354.507,50151485.352
24,2021-01-04,NO5,57822194.349,7693485.0,132542819.842,74720625.493
25,2021-01-05,NO1,150205563.496,30725587.0,62531971.03,-87673592.46599999
26,2021-01-05,NO2,127708212.928,19020590.0,214674468.947,86966256.019
27,2021-01-05,NO3,91842651.632,12449654.0,73051696.73,-18790954.901999995
28,2021-01-05,NO4,51331445.595,7926288.0,98845259.93,47513814.33500001
29,2021-01-05,NO5,58101442.551,7694000.0,145887472.237,87786029.68599999
30,2021-01-06,NO1,157269515.207,30727159.0,62135681.773,-95133833.43399999
31,2021-01-06,NO2,132264833.749,19022051.0,208211478.074,75946644.325
