,DATE,PRISOMRÅDE,VOLUM_KWH,ANTALL_MÅLEPUNKT
0,2020-12-31,NO1,4431073.516000001,1280088.0
1,2020-12-31,NO2,4364138.152,792478.0
2,2020-12-31,NO3,3112774.139,518723.0
3,2020-12-31,NO4,1997586.226,330240.0
4,2020-12-31,NO5,2040973.624,320541.0
5,2021-01-01,NO1,115296560.993,30722112.0
6,2021-01-01,NO2,111020293.386,19019472.0
7,2021-01-01,NO3,79142416.689,12449350.0
8,2021-01-01,NO4,51025375.465,7925760.0
9,2021-01-01,NO5,51735153.732,7692983.0
10,2021-01-02,NO1,115625068.435,30722113.0
11,2021-01-02,NO2,112538589.849,19019466.0
12,2021-01-02,NO3,82101061.495,12449304.0
13,2021-01-02,NO4,51860877.643,7925760.0
14,2021-01-02,NO5,51895618.774,7692960.0
15,2021-01-03,NO1,122458089.962,30722203.0
16,2021-01-03,NO2,113723927.838,19019361.0
17,2021-01-03,NO3,85907539.846,12449310.0
18,2021-01-03,NO4,50870393.671000004,7925764.0
19,2021-01-03,NO5,53179634.688,7692981.0
20,2021-01-04,NO1,143754782.758,30723818.0
21,2021-01-04,NO2,125259614.088,19020137.0
22,2021-01-04,NO3,92160805.814,12449456.0
23,2021-01-04,NO4,52080869.155,7925873.0
24,2021-01-04,NO5,57822194.349,7693485.0
25,2021-01-05,NO1,150205563.496,30725587.0
26,2021-01-05,NO2,127708212.928,19020590.0
27,2021-01-05,NO3,91842651.632,12449654.0
28,2021-01-05,NO4,51331445.595,7926288.0
29,2021-01-05,NO5,58101442.551,7694000.0
30,2021-01-06,NO1,157269515.207,30727159.0
31,2021-01-06,NO2,132264833.749,19022051.0
32,2021-01-06,NO3,92757453.61,12449987.0
33,2021-01-06,NO4,51139515.333,7926836.0
34,2021-01-06,NO5,59210488.177,7694793.0
35,2021-01-07,NO1,151771640.433,30727922.0
36,2021-01-07,NO2,131535384.42300001,19022883.0
37,2021-01-07,NO3,92574909.005,12450253.0
38,2021-01-07,NO4,54530429.748,7926761.0
39,2021-01-07,NO5,58450705.076,7696136.0
40,2021-01-08,NO1,147441564.485,30729073.0
41,2021-01-08,NO2,130274005.171,19023499.0
42,2021-01-08,NO3,91707581.607,12450547.0
43,2021-01-08,NO4,56630378.749,7927147.0
44,2021-01-08,NO5,58483649.768,7696877.0
45,2021-01-09,NO1,139732674.237,30729101.0
46,2021-01-09,NO2,124531644.59,19023383.0
47,2021-01-09,NO3,88388373.917,12450430.0
48,2021-01-09,NO4,55108389.892,7927032.0
49,2021-01-09,NO5,55387372.231,7696991.0
50,2021-01-10,NO1,135511526.456,30729242.0
51,2021-01-10,NO2,118228187.424,19023370.0
52,2021-01-10,NO3,85573623.054,12450395.0
53,2021-01-10,NO4,53550763.885,7927043.0
54,2021-01-10,NO5,53856977.596,7696986.0
55,2021-01-11,NO1,148680948.868,30729840.0
56,2021-01-11,NO2,124944156.962,19023625.0
57,2021-01-11,NO3,90904444.579,12450662.0
58,2021-01-11,NO4,58387572.905,7927308.0
59,2021-01-11,NO5,56463168.678,7697462.0
60,2021-01-12,NO1,151971100.103,30729869.0
61,2021-01-12,NO2,128522511.632,19024231.0
62,2021-01-12,NO3,89705115.67,12450994.0
63,2021-01-12,NO4,59373843.741,7927587.0
64,2021-01-12,NO5,56788631.081,7698910.0
65,2021-01-13,NO1,149326326.602,30730599.0
66,2021-01-13,NO2,127002837.885,19024949.0
67,2021-01-13,NO3,93179964.047,12451238.0
68,2021-01-13,NO4,60383412.475,7927670.0
69,2021-01-13,NO5,57079572.728,7699439.0
70,2021-01-14,NO1,151781579.637,30732115.0
71,2021-01-14,NO2,131722151.508,19025084.0
72,2021-01-14,NO3,96645619.028,12451555.0
73,2021-01-14,NO4,58760647.385,7927994.0
74,2021-01-14,NO5,59335449.745,7699997.0
75,2021-01-15,NO1,157405575.86,30733656.0
76,2021-01-15,NO2,134731319.703,19025540.0
77,2021-01-15,NO3,95789451.48,12451433.0
78,2021-01-15,NO4,55263283.821,7928036.0
79,2021-01-15,NO5,59971165.618,7700665.0
80,2021-01-16,NO1,153160916.998,30733662.0
81,2021-01-16,NO2,130248094.634,19025448.0
82,2021-01-16,NO3,91450185.605,12451268.0
83,2021-01-16,NO4,51576347.453,7927943.0
84,2021-01-16,NO5,57610715.795,7700688.0
85,2021-01-17,NO1,145985362.568,30733831.0
86,2021-01-17,NO2,124365795.426,19025468.0
87,2021-01-17,NO3,89372539.632,12451201.0
88,2021-01-17,NO4,53258198.126,7927932.0
89,2021-01-17,NO5,54902304.931,7700739.0
90,2021-01-18,NO1,149450275.505,30734544.0
91,2021-01-18,NO2,125735350.257,19025965.0
92,2021-01-18,NO3,91076198.536,12451791.0
93,2021-01-18,NO4,57231322.102,7928218.0
94,2021-01-18,NO5,55350201.023,7701935.0
95,2021-01-19,NO1,143277440.309,30734614.0
96,2021-01-19,NO2,124211904.931,19026844.0
97,2021-01-19,NO3,90063063.853,12452152.0
98,2021-01-19,NO4,58674901.597,7928457.0
99,2021-01-19,NO5,54913624.054,7702514.0
100,2021-01-20,NO1,137364550.53,30736249.0
101,2021-01-20,NO2,122941891.74599999,19027503.0
102,2021-01-20,NO3,89166249.868,12452523.0
103,2021-01-20,NO4,59341302.592,7928662.0
104,2021-01-20,NO5,54451466.695,7703661.0
105,2021-01-21,NO1,130128371.444,30736863.0
106,2021-01-21,NO2,119735030.104,19027874.0
107,2021-01-21,NO3,87776650.694,12452612.0
108,2021-01-21,NO4,61255316.616,7928615.0
109,2021-01-21,NO5,52502773.121,7703617.0
110,2021-01-22,NO1,125578711.41,30737758.0
111,2021-01-22,NO2,117101172.031,19028458.0
112,2021-01-22,NO3,84928087.969,12453069.0
113,2021-01-22,NO4,61428296.369,7928588.0
114,2021-01-22,NO5,52054668.289,7704193.0
115,2021-01-23,NO1,117150558.758,30737717.0
116,2021-01-23,NO2,111625779.307,19028134.0
117,2021-01-23,NO3,82963041.124,12452999.0
118,2021-01-23,NO4,59429686.63,7928483.0
119,2021-01-23,NO5,51314224.251,7704218.0
120,2021-01-24,NO1,121715153.775,30737901.0
121,2021-01-24,NO2,115615931.088,19028118.0
122,2021-01-24,NO3,81995460.751,12452973.0
123,2021-01-24,NO4,58387600.96,7928205.0
124,2021-01-24,NO5,48430871.769999996,7704323.0
125,2021-01-25,NO1,142135843.7,30739522.0
126,2021-01-25,NO2,126634001.901,19028827.0
127,2021-01-25,NO3,88063952.966,12452917.0
128,2021-01-25,NO4,61319141.044,7928701.0
129,2021-01-25,NO5,56293136.23,7705664.0
130,2021-01-26,NO1,151457415.592,30740373.0
131,2021-01-26,NO2,130052350.854,19029313.0
132,2021-01-26,NO3,86969807.617,12453226.0
133,2021-01-26,NO4,60748621.406,7929013.0
134,2021-01-26,NO5,56600455.432,7705329.0
135,2021-01-27,NO1,154888436.047,30742073.0
136,2021-01-27,NO2,131646179.575,19030476.0
137,2021-01-27,NO3,89582480.21,12453447.0
138,2021-01-27,NO4,60365351.334,7929319.0
