,DATE,PRISOMRÅDE,VOLUM_KWH
0,2020-09-08,NO1,2168865.186
1,2020-09-08,NO2,9753790.419
2,2020-09-08,NO3,5612004.6
3,2020-09-08,NO4,4917534.632
4,2020-09-08,NO5,7789808.636
5,2020-09-09,NO1,26356163.593
6,2020-09-09,NO2,137677457.145
7,2020-09-09,NO3,72662229.872
8,2020-09-09,NO4,67447885.187
9,2020-09-09,NO5,96661543.084
10,2020-09-10,NO1,25029655.201
11,2020-09-10,NO2,134139565.433
12,2020-09-10,NO3,77752359.425
13,2020-09-10,NO4,73928996.297
14,2020-09-10,NO5,102251518.302
15,2020-09-11,NO1,25760658.727
16,2020-09-11,NO2,139826764.193
17,2020-09-11,NO3,68774235.499
18,2020-09-11,NO4,61822329.582
19,2020-09-11,NO5,105180861.598
20,2020-09-12,NO1,25771901.531
21,2020-09-12,NO2,129344072.447
22,2020-09-12,NO3,64794503.761
23,2020-09-12,NO4,57000213.578999996
24,2020-09-12,NO5,96042761.762
25,2020-09-13,NO1,23363581.22
26,2020-09-13,NO2,113077083.322
27,2020-09-13,NO3,71989405.179
28,2020-09-13,NO4,54473474.376
29,2020-09-13,NO5,94176031.244
30,2020-09-14,NO1,23535757.098
31,2020-09-14,NO2,131606345.211
32,2020-09-14,NO3,68218480.659
33,2020-09-14,NO4,59266090.084
34,2020-09-14,NO5,107940560.924
35,2020-09-15,NO1,23401338.61
36,2020-09-15,NO2,133912251.129
37,2020-09-15,NO3,62777375.521
38,2020-09-15,NO4,59476555.051
39,2020-09-15,NO5,110123291.296
40,2020-09-16,NO1,24666053.812
41,2020-09-16,NO2,130099645.557
42,2020-09-16,NO3,70768618.856
43,2020-09-16,NO4,54532003.876
44,2020-09-16,NO5,101440739.078
45,2020-09-17,NO1,24974582.442
46,2020-09-17,NO2,139112790.507
47,2020-09-17,NO3,68625649.339
48,2020-09-17,NO4,61429448.694000006
49,2020-09-17,NO5,103456256.938
50,2020-09-18,NO1,23023652.037
51,2020-09-18,NO2,131968604.712
52,2020-09-18,NO3,74452303.29699999
53,2020-09-18,NO4,64493850.47
54,2020-09-18,NO5,103035542.714
55,2020-09-19,NO1,22527053.935
56,2020-09-19,NO2,133886425.835
57,2020-09-19,NO3,64590156.6
58,2020-09-19,NO4,68948676.208
59,2020-09-19,NO5,102314913.277
60,2020-09-20,NO1,23140150.996
61,2020-09-20,NO2,140566306.093
62,2020-09-20,NO3,70647191.045
63,2020-09-20,NO4,63464850.385
64,2020-09-20,NO5,107147286.63599999
65,2020-09-21,NO1,26912660.297
66,2020-09-21,NO2,149297277.325
67,2020-09-21,NO3,75166906.537
68,2020-09-21,NO4,70929884.792
69,2020-09-21,NO5,108053536.817
70,2020-09-22,NO1,29556405.539
71,2020-09-22,NO2,153886982.473
72,2020-09-22,NO3,71269592.149
73,2020-09-22,NO4,66149641.730000004
